pathway_name,method,mean_rank,rank_variance,min_rank,max_rank,n_folds,is_rna_processing
REACTOME_ABC_TRANSPORTER_DISORDERS,integrated_gradients,323.1333333333333,40523.26666666667,100,779,5,False
REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES,integrated_gradients,326.53333333333336,68371.12380952381,104,901,5,False
REACTOME_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY,integrated_gradients,327.2,73642.45714285715,55,936,5,False
REACTOME_ECM_PROTEOGLYCANS,integrated_gradients,331.06666666666666,84959.92380952383,104,1107,5,False
REACTOME_MEIOSIS,integrated_gradients,331.93333333333334,96315.20952380952,88,1206,5,False
REACTOME_SUMOYLATION_OF_TRANSCRIPTION_COFACTORS,integrated_gradients,332.53333333333336,23948.838095238094,113,655,5,False
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX,integrated_gradients,335.0,33833.28571428571,135,686,5,False
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,integrated_gradients,336.26666666666665,122875.49523809525,47,1123,5,False
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS,integrated_gradients,336.8,27742.17142857143,99,623,5,False
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,integrated_gradients,340.46666666666664,78515.1238095238,101,1172,5,False
REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT,integrated_gradients,341.53333333333336,112886.40952380952,34,1139,5,False
REACTOME_RETROGRADE_TRANSPORT_AT_THE_TRANS_GOLGI_NETWORK,integrated_gradients,343.3333333333333,16414.238095238095,143,620,5,False
REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE,integrated_gradients,345.46666666666664,104634.69523809524,41,1196,5,False
REACTOME_PLATELET_HOMEOSTASIS,integrated_gradients,346.93333333333334,70505.6380952381,118,1060,5,False
REACTOME_G_PROTEIN_MEDIATED_EVENTS,integrated_gradients,347.06666666666666,21948.352380952383,151,742,5,False
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3,integrated_gradients,347.6666666666667,117433.09523809525,69,1181,5,False
REACTOME_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION,integrated_gradients,347.93333333333334,46727.20952380953,138,972,5,False
REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2,integrated_gradients,348.3333333333333,56282.66666666667,62,964,5,False
REACTOME_SIGNALING_BY_FGFR2,integrated_gradients,348.46666666666664,55504.98095238096,83,916,5,False
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS,integrated_gradients,348.8,72017.31428571428,98,891,5,False
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,integrated_gradients,349.53333333333336,81681.12380952381,16,962,5,False
REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR,integrated_gradients,354.53333333333336,147333.26666666666,67,1254,5,False
REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES,integrated_gradients,354.73333333333335,103098.78095238097,102,1242,5,False
